,State,City,lat,lng,timezone,UTC,Elevation
0,AK,ANCHORAGE,61.1508,-149.1091,America/Anchorage,-9,236.45
1,AK,FAIRBANKS,64.8353,-147.6534,America/Anchorage,-9,136.27
2,AK,JUNEAU,58.4546,-134.1739,America/Juneau,-9,570.19
3,AL,BIRMINGHAM,33.5277,-86.7987,America/Chicago,-6,183.58
4,AL,MOBILE,30.6783,-88.1162,America/Chicago,-6,9.08
5,AL,MONTGOMERY,32.3473,-86.2666,America/Chicago,-6,79.21
6,AR,FORT SMITH,35.3493,-94.3695,America/Chicago,-6,142.03
7,AR,LITTLE ROCK,34.7256,-92.3576,America/Chicago,-6,84.96
8,AZ,PHOENIX,33.5722,-112.0891,America/Phoenix,-7,379.47
9,AZ,TUCSON,32.1545,-110.8782,America/Phoenix,-7,816.4
10,AZ,YUMA,32.5992,-114.5488,America/Phoenix,-7,62.44
11,CA,ANAHEIM,33.839,-117.8572,America/Los_Angeles,-8,66.28
12,CA,BAKERSFIELD,35.3529,-119.0359,America/Los_Angeles,-8,119.2
13,CA,EUREKA,40.7942,-124.1568,America/Los_Angeles,-8,11.21
14,CA,FRESNO,36.7831,-119.7941,America/Los_Angeles,-8,95.25
15,CA,LOS ANGELES,34.1139,-118.4068,America/Los_Angeles,-8,347.3
16,CA,RIVERSIDE,33.9381,-117.3948,America/Los_Angeles,-8,270.75
17,CA,SACRAMENTO,38.5667,-121.4683,America/Los_Angeles,-8,9.06
18,CA,SAN BERNARDINO,34.1417,-117.2946,America/Los_Angeles,-8,365.44
19,CA,SAN DIEGO,32.8312,-117.1225,America/Los_Angeles,-8,125.27
20,CA,SAN FRANCISCO,37.7562,-122.443,America/Los_Angeles,-8,144.73
21,CA,SAN JOSE,37.3019,-121.8486,America/Los_Angeles,-8,39.65
22,CO,COLORADO SPRINGS,38.8674,-104.7606,America/Denver,-7,1927.46
23,CO,DENVER,39.7621,-104.8759,America/Denver,-7,1610.2
24,CO,GRAND JUNCTION,39.0876,-108.5673,America/Denver,-7,1417.55
25,CT,HARTFORD,41.7661,-72.6834,America/New_York,-5,15.33
26,DC,WASHINGTON,38.9047,-77.0163,America/New_York,-5,19.42
27,DE,DOVER,39.161,-75.5203,America/New_York,-5,2.23
28,FL,JACKSONVILLE,30.3322,-81.6749,America/New_York,-5,7.25
29,FL,MIAMI,25.7839,-80.2102,America/New_York,-5,1.63
30,FL,ORLANDO,28.4772,-81.3369,America/New_York,-5,28.21
31,FL,TALLAHASSEE,30.4551,-84.2526,America/New_York,-5,38.07
32,FL,TAMPA,27.9942,-82.4451,America/New_York,-5,14.84
33,GA,ATLANTA,33.7627,-84.4224,America/New_York,-5,290.85
34,GA,AUGUSTA,33.3645,-82.0708,America/New_York,-5,103.91
35,HI,HONOLULU,21.3294,-157.846,Pacific/Honolulu,-10,75.16
36,IA,DES MOINES,41.5725,-93.6105,America/Chicago,-6,242.36
37,IA,FORT MADISON,40.6207,-91.3509,America/Chicago,-6,159.18
38,IA,MASON CITY,43.1487,-93.1998,America/Chicago,-6,340.98
39,ID,BOISE,43.6007,-116.2312,America/Boise,-7,836.16
40,ID,IDAHO FALLS,43.4872,-112.0362,America/Boise,-7,1432.51
41,IL,AURORA,41.7637,-88.2901,America/Chicago,-6,219.58
42,IL,CHAMPAIGN,40.1144,-88.2735,America/Chicago,-6,235.79
43,IL,CHICAGO,41.8373,-87.6862,America/Chicago,-6,175.56
44,IN,FORT WAYNE,41.0886,-85.1437,America/Indiana/Indianapolis,-5,230.74
45,IN,INDIANAPOLIS,39.7771,-86.1458,America/Indiana/Indianapolis,-5,219.0
46,KS,DODGE CITY,37.761,-100.0183,America/Chicago,-6,780.23
47,KS,KANSAS CITY,39.1234,-94.7443,America/Chicago,-6,289.94
48,KS,WICHITA,37.6896,-97.3442,America/Chicago,-6,396.39
49,KY,LEXINGTON,38.0423,-84.4587,America/New_York,-5,320.96
50,KY,LOUISVILLE,38.1663,-85.6485,America/New_York,-5,157.58
51,KY,PADUCAH,37.0711,-88.6436,America/Chicago,-6,113.93
52,LA,BATON ROUGE,30.4418,-91.131,America/Chicago,-6,15.04
53,LA,SHREVEPORT,32.4656,-93.7956,America/Chicago,-6,73.03
54,MA,BOSTON,42.3188,-71.0846,America/New_York,-5,20.76
55,MA,WORCESTER,42.2705,-71.8079,America/New_York,-5,151.97
56,MD,BALTIMORE,39.3051,-76.6144,America/New_York,-5,24.91
57,ME,ORONO,44.8831,-68.6719,America/New_York,-5,37.8
58,ME,PORTLAND,43.6773,-70.2715,America/New_York,-5,0.0
59,MI,BAY CITY,43.5903,-83.8886,America/Detroit,-5,182.8
60,MI,DETROIT,42.3834,-83.1024,America/Detroit,-5,194.31
61,MI,GRAND RAPIDS,42.962,-85.6562,America/Detroit,-5,219.0
62,MN,DULUTH,46.7756,-92.1392,America/Chicago,-6,325.06
63,MN,ST. PAUL,44.9477,-93.104,America/Chicago,-6,248.11
64,MO,JEFFERSON CITY,38.5676,-92.1759,America/Chicago,-6,195.05
65,MO,SPRINGFIELD,37.1943,-93.2916,America/Chicago,-6,394.06
66,MO,ST. LOUIS,38.6358,-90.2451,America/Chicago,-6,142.88
67,MS,JACKSON,32.3163,-90.2124,America/Chicago,-6,105.75
68,MT,BILLINGS,45.7891,-108.5524,America/Denver,-7,979.69
69,MT,KALISPELL,48.2156,-114.3262,America/Denver,-7,941.3
70,NC,CHARLOTTE,35.208,-80.8304,America/New_York,-5,205.18
71,NC,GREENSBORO,36.0956,-79.8269,America/New_York,-5,248.87
72,NC,RALEIGH,35.8325,-78.6435,America/New_York,-5,96.43
73,NC,WILMINGTON,34.21,-77.8866,America/New_York,-5,12.51
74,ND,BISMARCK,46.8144,-100.7694,America/Chicago,-6,531.86
75,NE,KEARNEY,40.701,-99.0834,America/Chicago,-6,656.29
76,NE,LINCOLN,40.809,-96.6788,America/Chicago,-6,367.64
77,NE,OMAHA,41.2627,-96.0522,America/Chicago,-6,348.85
78,NH,CONCORD,43.2305,-71.5595,America/New_York,-5,94.04
79,NH,PORTSMOUTH,43.058,-70.7826,America/New_York,-5,17.7
80,NJ,EDISON,40.5187,-74.4121,America/New_York,-5,27.86
81,NM,ALBUQUERQUE,35.1053,-106.6464,America/Denver,-7,1514.07
82,NM,CARLSBAD,32.4011,-104.2389,America/Denver,-7,952.55
83,NM,NAVAJO LAKE,36.6722,-107.0519,America/Denver,-7,2201.41
84,NV,LAS VEGAS,36.2333,-115.2654,America/Los_Angeles,-8,718.01
85,NV,RENO,39.5497,-119.8483,America/Los_Angeles,-8,1494.81
86,NY,ALBANY,42.6664,-73.7987,America/New_York,-5,68.77
87,NY,LOCKPORT,43.1698,-78.6956,America/New_York,-5,175.93
88,NY,NEW YORK CITY,40.7306,-73.9352,America/New_York,-5,6.84
89,NY,ROCHESTER,43.168,-77.6162,America/New_York,-5,150.7
90,NY,SYRACUSE,43.0409,-76.1438,America/New_York,-5,121.72
