Year,City,Sport,Discipline,Athlete,Country Code,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon,"BERTHET, G.",FRA,France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, C.",FRA,France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, Maurice",FRA,France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"VANDELLE, André",FRA,France,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"AUFDENBLATTEN, Adolf",SUI,Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Alphonse",SUI,Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Ant.",SUI,Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"VAUCHER, D.",SUI,Switzerland,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"BREMER, V.E.",FIN,Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"ESKELINEN, A.",FIN,Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"HIRVONEN, H.",FIN,Finland,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"LAPPALAINEN, Martti",FIN,Finland,Men,Military Patrol,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"MORTIAUX, René",BEL,Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"MULDER, Charles",BEL,Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VAN DEN BROECK, Paul",BEL,Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VERSCHUEREN, Victor",BEL,Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"WILLIEMS, Henri",BEL,Belgium,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"NEVEU, Alfred",SUI,Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHERRER, Eduard",SUI,Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Alfred",SUI,Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Heinrich",SUI,Switzerland,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"ARNOLD, Thomas",GBR,United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"BROOME, Ralpf",GBR,United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"RICHARDSON, Alexander",GBR,United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"SOHER, Rodney",GBR,United Kingdom,Men,Four-Man,Silver
1924,Chamonix,Curling,Curling,"ALDEERT, H.",FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"ANDRE, Georges",FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,BENEDIC,FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"CANIVET, P.",FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"COURNOLLET, F.",FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"PLANQUE, R.",FRA,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"AIKMAN, T.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"ASTLEY, D.-G.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"BROWN, V.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"COUSIN, R.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"JACKSON, V.-K.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MC LEOD, J.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MURRAY, T.-B.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"WELSH, R.",GBR,United Kingdom,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"AHLEN, J.P.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"KRONLUND, Carl Augustus Verner",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"ODLUND, T.-M.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETERSEN, C.-W.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETTERSSON, C.-A.-F.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"SEVERIN, E.-O.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WAHLBERG, K.-E.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WETTERSTROM, V.-E.",SWE,Sweden,Men,Curling,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"ANDERSON, William",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"BOULDEN, C.-B.",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CLARKSON, Guy E.",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CUTHBERT, Ross George",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"HOLMES, George",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"JUKES, Hamilton",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PATTON, B.-N.",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"PITBLADO, Edward",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,United Kingdom,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CAMERON, Jack",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"COLLETT, Ernest J.",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CAFFERY, Albert",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC MUNN, Harold",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"MUNRO, Duncan",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SLATER, Cyril",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"SMITH, Reginald",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"WATSON, Harry",CAN,Canada,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,"ABEL, Clarence John",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"DRURY, Herbert L.",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"GERAN, N.",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LACROIX, Alphonse",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LANGLEY, John Arthur",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"LYONS, John Sharkey",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"MAC CARTHY, Justin",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"RICE, Willard",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SMALL, Irving Wheeler",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"SYNNOTT, Francis Allen",USA,United States,Men,Ice Hockey,Silver
1924,Chamonix,Skating,Figure skating,"GAUTSCHI, Georges",SUI,Switzerland,Men,Individual,Bronze
1924,Chamonix,Skating,Figure skating,"GRAFSTRÖM, Gillis",SWE,Sweden,Men,Individual,Gold
